StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q39,Q39,Q28,Q42,Q43,Q44,Q1_1,Q1_2,Q1_3,Q30,Q13,Q24_1,Q24_2,Q24_3,Q25_1,Q23_1,Q23_2,Q26_1,Q27_1,Q6_1,Q7_1,Q8_1,Q8_2,Q16,Q17,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q31,Q31,mTurkCode,Q1_2 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,This is the beginning of the survey.,This is the beginning of the survey. - Regions,"In real life, what percentage (0-100) amount do you consider to be a standard and fair bank fee for exchanging currency?",What percentage (0-100) amount do you consider to be a standard and fair brokerage commission fee for financial management services?,What percentage (0-100) amount do you consider to be a standard and fair service charge in an online transaction?,What percentage (0-100) amount do you consider to be a standard and fair ATM fee for withdrawing cash?,Your basic demographic information - Age (years),Your basic demographic information - Occupation,Your basic demographic information - Nationality,What is your gender?,What was your role during the experiment?,Please estimate the following about Player 2 to the best of your ability: - Lowest offer ($0-1) Player 2 expected,Please estimate the following about Player 2 to the best of your ability: - Highest offer ($0-1) Player 2 expected,Please estimate the following about Player 2 to the best of your ability: - Lowest offer ($0-1) Player 2 would have accepted,What is the highest offer ($0-1) you were willing to make to Player 2? - Maximum Offer ($),Please answer the following questions about Player 1 to the best of your ability: - Lowest offer ($0-1) you expected from Player 1,Please answer the following questions about Player 1 to the best of your ability: - Highest offer ($0-1) you expected from Player 1,What is the lowest offer ($0-1) you were willing to accept from Player 1? - Minimum Offer ($),What do you think would have been a fair offer in this experiment ($0-1)? - Fair Offer ($),How did you feel about your payoff at the end of the experiment? - How you felt about your payoff,How would you rate the following statement? - I thought the outcome of this experiment was fair,Please rank your experience level with the following: - Converting types of currency,Please rank your experience level with the following: - International travel,"For this final task, imagine you have been anonymously and randomly paired with another person, called “Other.” Both you and the “Other” person will make choices by selecting payoff sets. 

 

Your choices will produce points for both yourself and the “Other” person, and vice versa. Every point has value: the more points one receives, the better.
 

    Here’s an example:




  

In this example, if you chose... 

 

A: you receive 500 points; the other receives 100 points 

B: you receive 500 points; the other receives 500 points  

C: you receive 550 points; the other receives 300 points 

 

So, you see that your choice influences both your points (on top) and the other's points (on bottom).

 

To ensure that you are reading these instructions, you will see an image of a clock tower on the following page, indicating the end of the survey. When this occurs, please click on the clock or clock tower before continuing. You will then receive your payment information for this HIT.

 

Before you begin making choices, please keep in mind that there are no right or wrong answers – simply choose the option that you prefer most. 

 

For each of the nine choice situations, select an option depending on which column you prefer most:",Q17,Q32,Q33,Q34,Q35,Q36,Q37,Q38,You have reached the end of the survey. Your validation code number is on the following page.,You have reached the end of the survey. Your validation code number is on the following page. - Regions,mTurkCode,Q1_2 - Topics
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_REGIONS""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID38""}","{""ImportId"":""QID48""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID39""}","{""ImportId"":""QID39_REGIONS""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""QID1_2_3fbe8b9c8ecd4b8dbd26f23bTopic0""}"
2017-02-06 18:13:48,2017-02-06 18:15:47,IP Address,173.217.96.226,100,119,True,2017-02-06 18:15:48,R_3fvrDfCFa6pNlAo,,,,,30.13459777832,-93.273002624512,anonymous,,Region #1,50,25,10,10,31,sales,American,Female,Player 1,0.41,0.71,0.5,0.5,,,,0.5,Very positively,Strongly agree,&nbsp;,No experience at all,"480
480","500
500","520
520","490
490","500
500","500
500","510
510",,"490
490",,,8088591,
2017-02-06 18:13:47,2017-02-06 18:16:28,IP Address,108.246.14.88,100,160,True,2017-02-06 18:16:29,R_2R8I5etuKX9wQz7,,,,,38.926498413086,-120.89799499512,anonymous,,,50,10,5,3,34,retail,American,Male,Player 2,,,,,0,0.5,0.1,0.5,Very positively,Strongly agree,No experience at all,&nbsp;,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,,493308,
2017-02-06 18:15:26,2017-02-06 18:16:59,IP Address,104.174.223.0,100,92,True,2017-02-06 18:17:00,R_31ad5UnXif1mqTW,,,,,34.078994750977,-117.84939575195,anonymous,,,1,2,5,5,27,Accounting,USA,Male,Player 2,,,,,0.1,1,0.1,0.5,Neutral,Somewhat agree,No experience at all,No experience at all,"540
280","560
300","580
320","560
300","560
300","570
300","560
300","550
300","540
300",,,7570244,
2017-02-06 18:15:28,2017-02-06 18:19:16,IP Address,67.188.183.78,100,227,True,2017-02-06 18:19:17,R_1dbqUcjsLwVRDDW,,,,,37.830902099609,-122.21960449219,anonymous,,,1,1,0,0,40,acupuncturist,american,Female,Player 1,0.31,0.61,0.39,0.5,,,,0.5,Somewhat positively,Strongly agree,Some experience,Extensive experience,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,6406235,
2017-02-06 18:17:05,2017-02-06 18:19:41,IP Address,217.73.129.102,100,156,True,2017-02-06 18:19:42,R_3EyuGmwDzQKqMB7,,,,,41.323104858398,19.44140625,anonymous,,,3,7,3,5,,,,Male,Player 2,,,,,0.21,0.7,0.4,0.5,Somewhat positively,Strongly agree,Some experience,Extensive experience,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,,1837355,
2017-02-06 18:17:28,2017-02-06 18:19:44,IP Address,47.199.62.153,100,136,True,2017-02-06 18:19:45,R_1ovsWlVt7e5Lo2v,,,,,28.215805053711,-82.659599304199,anonymous,,,100,50,50,50,50,none,american,Female,Player 2,,,,,0.5,0.5,0.01,0.51,Somewhat positively,Somewhat agree,&nbsp;,&nbsp;,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,,1129796,
2017-02-06 18:17:53,2017-02-06 18:20:46,IP Address,100.36.54.231,100,172,True,2017-02-06 18:20:47,R_3s498ss7rZxAcim,,,,,38.908493041992,-77.017700195312,anonymous,,,1,1,0,0,25,Consulting,American/USA,Female,Player 2,,,,,0,0.5,0.5,0.5,Somewhat positively,Strongly agree,&nbsp;,&nbsp;,"540
280","560
300","580
320","560
300","560
300","570
300","560
300","550
300","540
300",,Clock,4886380,
2017-02-06 18:17:30,2017-02-06 18:20:56,IP Address,122.164.213.32,100,206,True,2017-02-06 18:20:58,R_2Tto2GtcK5PaKdg,,,,,13.083297729492,80.283294677734,anonymous,,,20,15,25,5,32,OPERATION THEATRE ASSIATANT,INDIAN,Male,Player 1,0.63,0.46,0.6,0.7,,,,0.55,Somewhat positively,Somewhat agree,&nbsp;,Some experience,"480
480","500
500","520
520","490
490","500
500","570
300","510
510","550
300","540
300",,Clock,9532322,
