session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
4,1,3xuhihea,1,consent_start,Consent,1486429594,3,4,False
4,1,3xuhihea,2,consent_start,Introduction,1486429601,7,4,False
4,1,3xuhihea,3,ultimatum_t1,WaitToStart,1486429611,10,4,False
4,1,3xuhihea,4,ultimatum_t1,Offer,1486429640,29,4,False
4,1,3xuhihea,5,ultimatum_t1,WaitForProposer,1486429640,0,4,False
4,1,3xuhihea,7,ultimatum_t1,ResultsWaitPage,1486429645,5,4,False
4,1,3xuhihea,8,ultimatum_t1,Results,1486429657,12,4,False
4,1,3xuhihea,9,ultimatum_t1,Validation,1486429660,3,4,False
4,2,4kylo1qh,1,consent_start,Consent,1486429608,3,4,False
4,2,4kylo1qh,2,consent_start,Introduction,1486429610,2,4,False
4,2,4kylo1qh,3,ultimatum_t1,WaitToStart,1486429611,1,4,False
4,2,4kylo1qh,5,ultimatum_t1,WaitForProposer,1486429640,29,4,False
4,2,4kylo1qh,6,ultimatum_t1,Accept,1486429644,4,4,False
4,2,4kylo1qh,7,ultimatum_t1,ResultsWaitPage,1486429644,0,4,False
4,2,4kylo1qh,8,ultimatum_t1,Results,1486429664,20,4,False
4,2,4kylo1qh,9,ultimatum_t1,Validation,1486429666,2,4,False
6,1,oem4mq5u,1,consent_start,Consent,1486430171,196,6,False
6,1,oem4mq5u,2,consent_start,Introduction,1486430198,27,6,False
6,1,oem4mq5u,3,ultimatum_t1,WaitToStart,1486430199,1,6,False
6,1,oem4mq5u,4,ultimatum_t1,Offer,1486430220,21,6,False
6,1,oem4mq5u,5,ultimatum_t1,WaitForProposer,1486430221,1,6,False
6,1,oem4mq5u,7,ultimatum_t1,ResultsWaitPage,1486430247,26,6,False
6,1,oem4mq5u,8,ultimatum_t1,Results,1486430499,252,6,False
6,1,oem4mq5u,9,ultimatum_t1,Validation,1486430505,6,6,False
6,2,g6cnt1y3,1,consent_start,Consent,1486432627,2651,6,False
6,2,g6cnt1y3,2,consent_start,Introduction,1486432632,5,6,False
