session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,1,x7prwsb2,1,consent_start2,Consent,1487030904,7,1,False
1,1,x7prwsb2,2,consent_start2,Introduction,1487030957,53,1,False
1,1,x7prwsb2,3,ultimatum_banker,WaitToStart,1487030966,9,1,False
1,1,x7prwsb2,4,ultimatum_banker,Offer,1487030980,14,1,False
1,1,x7prwsb2,5,ultimatum_banker,WaitForProposer,1487030981,1,1,False
1,1,x7prwsb2,7,ultimatum_banker,ResultsWaitPage,1487030991,10,1,False
1,1,x7prwsb2,8,ultimatum_banker,Results,1487031018,27,1,False
1,1,x7prwsb2,9,ultimatum_banker,Validation,1487031021,3,1,False
1,2,3fwvdhsx,1,consent_start2,Consent,1487030962,3,1,False
1,2,3fwvdhsx,2,consent_start2,Introduction,1487030965,3,1,False
1,2,3fwvdhsx,3,ultimatum_banker,WaitToStart,1487030966,1,1,False
1,2,3fwvdhsx,5,ultimatum_banker,WaitForProposer,1487030982,16,1,False
1,2,3fwvdhsx,6,ultimatum_banker,Accept,1487030991,9,1,False
1,2,3fwvdhsx,7,ultimatum_banker,ResultsWaitPage,1487030991,0,1,False
1,2,3fwvdhsx,8,ultimatum_banker,Results,1487031025,34,1,False
2,1,bvjyfkdq,1,consent_start3,Consent,1487031046,4,1,False
2,1,bvjyfkdq,2,consent_start3,Introduction,1487031070,24,1,False
2,1,bvjyfkdq,3,ultimatum_customer,WaitToStart,1487031087,17,1,False
2,1,bvjyfkdq,4,ultimatum_customer,Offer,1487031105,18,1,False
2,1,bvjyfkdq,5,ultimatum_customer,WaitForProposer,1487031105,0,1,False
2,1,bvjyfkdq,7,ultimatum_customer,ResultsWaitPage,1487031120,15,1,False
2,2,a7ns4ecv,1,consent_start3,Consent,1487031078,4,1,False
2,2,a7ns4ecv,2,consent_start3,Introduction,1487031086,8,1,False
2,2,a7ns4ecv,3,ultimatum_customer,WaitToStart,1487031087,1,1,False
2,2,a7ns4ecv,5,ultimatum_customer,WaitForProposer,1487031105,18,1,False
2,2,a7ns4ecv,6,ultimatum_customer,Accept,1487031119,14,1,False
2,2,a7ns4ecv,7,ultimatum_customer,ResultsWaitPage,1487031119,0,1,False
2,2,a7ns4ecv,8,ultimatum_customer,Results,1487031138,19,1,False
2,2,a7ns4ecv,9,ultimatum_customer,Validation,1487031140,2,1,False
3,1,far4l1a7,1,consent_start2,Consent,1487031430,4,2,False
3,1,far4l1a7,2,consent_start2,Introduction,1487031432,2,2,False
3,1,far4l1a7,3,ultimatum_banker,WaitToStart,1487031441,9,2,False
3,2,34xeh712,1,consent_start2,Consent,1487031437,2,2,False
3,2,34xeh712,2,consent_start2,Introduction,1487031440,3,2,False
3,2,34xeh712,3,ultimatum_banker,WaitToStart,1487031441,1,2,False
4,1,vkn92b1s,1,consent_start3,Consent,1487031456,3,2,False
4,1,vkn92b1s,2,consent_start3,Introduction,1487031459,3,2,False
4,1,vkn92b1s,3,ultimatum_customer,WaitToStart,1487031469,10,2,False
4,2,1julyqi7,1,consent_start3,Consent,1487031466,2,2,False
4,2,1julyqi7,2,consent_start3,Introduction,1487031469,3,2,False
4,2,1julyqi7,3,ultimatum_customer,WaitToStart,1487031469,0,2,False
5,1,u7dkfnur,1,consent_start2,Consent,1487031695,13,3,False
5,1,u7dkfnur,2,consent_start2,Introduction,1487031812,117,3,False
5,1,u7dkfnur,3,ultimatum_banker,WaitToStart,1487031813,1,3,False
5,1,u7dkfnur,4,ultimatum_banker,Offer,1487031839,26,3,False
5,1,u7dkfnur,5,ultimatum_banker,WaitForProposer,1487031839,0,3,False
5,1,u7dkfnur,7,ultimatum_banker,ResultsWaitPage,1487031858,19,3,False
5,2,rjepzjjj,1,consent_start2,Consent,1487031724,39,3,False
5,2,rjepzjjj,2,consent_start2,Introduction,1487031807,83,3,False
5,2,rjepzjjj,3,ultimatum_banker,WaitToStart,1487031814,7,3,False
5,2,rjepzjjj,5,ultimatum_banker,WaitForProposer,1487031840,26,3,False
5,2,rjepzjjj,6,ultimatum_banker,Accept,1487031857,17,3,False
5,2,rjepzjjj,7,ultimatum_banker,ResultsWaitPage,1487031858,1,3,False
5,2,rjepzjjj,8,ultimatum_banker,Results,1487032112,254,3,False
5,2,rjepzjjj,9,ultimatum_banker,Validation,1487032116,4,3,False
5,3,yfzujzkh,1,consent_start2,Consent,1487031699,8,3,False
5,3,yfzujzkh,2,consent_start2,Introduction,1487031730,31,3,False
5,3,yfzujzkh,3,ultimatum_banker,WaitToStart,1487031730,0,3,False
5,3,yfzujzkh,4,ultimatum_banker,Offer,1487031757,27,3,False
5,3,yfzujzkh,5,ultimatum_banker,WaitForProposer,1487031757,0,3,False
5,3,yfzujzkh,7,ultimatum_banker,ResultsWaitPage,1487031775,18,3,False
5,3,yfzujzkh,8,ultimatum_banker,Results,1487031897,122,3,False
5,3,yfzujzkh,9,ultimatum_banker,Validation,1487031900,3,3,False
5,4,piufy60r,1,consent_start2,Consent,1487031702,9,3,False
5,4,piufy60r,2,consent_start2,Introduction,1487031774,72,3,False
5,4,piufy60r,3,ultimatum_banker,WaitToStart,1487031774,0,3,False
5,4,piufy60r,4,ultimatum_banker,Offer,1487031786,12,3,False
5,4,piufy60r,5,ultimatum_banker,WaitForProposer,1487031788,2,3,False
5,4,piufy60r,7,ultimatum_banker,ResultsWaitPage,1487031809,21,3,False
5,4,piufy60r,8,ultimatum_banker,Results,1487031975,166,3,False
5,4,piufy60r,9,ultimatum_banker,Validation,1487031977,2,3,False
5,5,zktn4pc9,1,consent_start2,Consent,1487031714,19,3,False
5,5,zktn4pc9,2,consent_start2,Introduction,1487031862,148,3,False
5,5,zktn4pc9,3,ultimatum_banker,WaitToStart,1487031915,53,3,False
5,5,zktn4pc9,4,ultimatum_banker,Offer,1487031993,78,3,False
5,5,zktn4pc9,5,ultimatum_banker,WaitForProposer,1487031994,1,3,False
5,5,zktn4pc9,7,ultimatum_banker,ResultsWaitPage,1487032003,9,3,False
5,5,zktn4pc9,8,ultimatum_banker,Results,1487032322,319,3,False
5,5,zktn4pc9,9,ultimatum_banker,Validation,1487032328,6,3,False
5,6,h817v534,1,consent_start2,Consent,1487031711,7,3,False
5,6,h817v534,2,consent_start2,Introduction,1487031716,5,3,False
5,6,h817v534,3,ultimatum_banker,WaitToStart,1487031731,15,3,False
5,6,h817v534,5,ultimatum_banker,WaitForProposer,1487031758,27,3,False
5,6,h817v534,6,ultimatum_banker,Accept,1487031775,17,3,False
5,6,h817v534,7,ultimatum_banker,ResultsWaitPage,1487031775,0,3,False
5,6,h817v534,8,ultimatum_banker,Results,1487031916,141,3,False
5,7,cqvetmg4,1,consent_start2,Consent,1487031715,11,3,False
