participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,fy25x4qr,,0,9,10,ultimatum_banker,1,Results,10.179.86.73,2017-02-23 02:18:47.080856+00:00,0,1,,,1,0,1,1,n8jbz1mm,,,,,,,,1
2,2lxgl199,,0,9,10,ultimatum_banker,1,Results,10.81.229.55,2017-02-23 02:20:26.915962+00:00,0,1,,,2,0,1,1,n8jbz1mm,,,,,,,,1
1,al40vk33,,0,9,10,ultimatum_banker,1,Results,10.111.221.243,2017-02-23 02:23:02.319414+00:00,0,1,,,1,0,1,1,tht2h9qe,,,,,,,,1
2,dv9olh4m,,0,9,10,ultimatum_banker,1,Results,10.111.221.243,2017-02-23 02:23:14.796294+00:00,0,1,,,2,0,1,1,tht2h9qe,,,,,,,,1
1,ojmv01hq,,0,11,10,ultimatum_banker,1,Validation,10.41.203.70,2017-02-23 03:05:38.391682+00:00,0,1,,,1,0,1,1,kt2lvcqz,,,,,,,,1
2,yireul3u,,0,11,10,ultimatum_banker,1,Validation,10.41.203.70,2017-02-23 03:05:56.774600+00:00,0,1,,,2,0,1,1,kt2lvcqz,,,,,,,,1
1,mts34jik,,0,3,10,consent_start2,1,Proceed,10.109.163.176,2017-02-23 03:15:42.689912+00:00,0,1,A2K1ILRTCP7H3T,3LPW2N6LKUHS7MPJ3ADCNN584PVU52,1,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
2,a8netjsx,,0,3,10,consent_start2,1,Proceed,10.111.221.243,2017-02-23 03:15:50.952720+00:00,0,1,A1V3FV89RVGASD,3WAKVUDHUXV7UQ32R3S9L7J4VVQU7H,2,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
3,vlid2f15,,0,3,10,consent_start2,1,Proceed,10.136.154.140,2017-02-23 03:15:56.762647+00:00,0,1,A1C6NTK19FBQO0,3DBQWDE4Y7DFCW5A691Q9SDEWT2N53,3,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
4,zhhdxwtr,,0,3,10,consent_start2,1,Proceed,10.152.74.104,2017-02-23 03:16:04.521241+00:00,0,1,A1M0JDU08KRH7X,3TYCR1GOTDYNVAME1KSRL4GKSXAZLK,4,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
5,1eufd7gz,,0,11,10,ultimatum_banker,1,Validation,10.171.119.12,2017-02-23 03:16:05.317346+00:00,0,1,A3PN17H3QT51O,3KV0LJBBH30YZ1I8RFZTZETAJLHRML,5,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
6,bvjbsz2h,,0,9,10,ultimatum_banker,1,Results,10.238.25.185,2017-02-23 03:16:13.775030+00:00,0,1,APHNYDGTCRN3O,3R3YRB5GRGIPDS10Y64TVYLUW3WUA8,6,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
7,fn1slzk6,,0,11,10,ultimatum_banker,1,Validation,10.37.191.73,2017-02-23 03:16:16.645768+00:00,0,1,A1ZQ6JK3OX8I57,3CP1TO84PUGJNAGHKQ36H4AGLYC25S,7,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
8,zybou9zb,,0,11,10,ultimatum_banker,1,Validation,10.164.78.133,2017-02-23 03:16:28.220877+00:00,0,1,A3EG4C9T4F5DUR,3483FV8BEFYF6EGVP9DB9AOGHTN268,8,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
9,g4pu5vep,,0,11,10,ultimatum_banker,1,Validation,10.231.231.232,2017-02-23 03:16:57.756613+00:00,0,1,A234SA9RO156TR,3Z4AIRP3C7SL08IV7SMN44RVMR7X1F,9,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
10,xqrfndvu,,0,3,10,consent_start2,1,Proceed,10.142.142.206,2017-02-23 03:17:36.218951+00:00,0,1,A1YA3HNCUJSJF4,3WAKVUDHUXV7UQ32R3S9L7J4VVQU7H,10,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
11,cwirj2zh,,0,9,10,ultimatum_banker,1,Results,10.41.215.197,2017-02-23 03:17:51.339399+00:00,0,1,A3A8P4UR9A0DWQ,3IHR8NYAM8GXJYDN8JV88PCVWC8P4W,11,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
12,bj9f5e99,,0,11,10,ultimatum_banker,1,Validation,10.167.190.210,2017-02-23 03:18:50.181303+00:00,0,1,ACNPJ7WXOGX5M,39N5ACM9HF2YG4JZPERZPXNBI4MP9S,12,0,1,1,jdgb9oif,,,,,3XUSYT70ITG49TU2U7CA7899NYD0DB,3PUN5J88E7Q1F6QW4EKD7X76U3VADO,,0
