participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.valid_code,player.payoff,group.id_in_subsession,group.amount_offered,group.offer_accepted,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,bvjyfkdq,,0,8,9,ultimatum_customer,1,Results,10.183.102.41,2017-02-14 00:10:42.329925+00:00,0,1,,,1,,0,2,1,0,1,g1speg7b,,,,,,,,1
2,a7ns4ecv,,0,10,9,ultimatum_customer,1,Validation,10.183.102.41,2017-02-14 00:11:14.714059+00:00,0,1,,,2,,0,2,1,0,1,g1speg7b,,,,,,,,1
1,vkn92b1s,,0,4,9,ultimatum_customer,1,Offer,10.170.178.42,2017-02-14 00:17:33.662530+00:00,0,1,,,1,,0,2,,,1,1k8pioey,,,,,,,,1
2,1julyqi7,,0,5,9,ultimatum_customer,1,WaitForProposer,10.170.178.42,2017-02-14 00:17:44.052803+00:00,0,1,,,2,,0,2,,,1,1k8pioey,,,,,,,,1
1,2o8clns1,,0,3,9,ultimatum_customer,1,WaitToStart,10.158.162.94,2017-02-14 00:21:19.875363+00:00,0,1,A4J4GGMKJ68L0,3UOUJI6MTET1959T9GW7F6WSWZWUXO,1,,0,9,,,1,9fi1a8wl,,,,,3THR0FZ95P88AMAD99C9GMDWU4ELO9,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
2,igojopmp,,0,10,9,ultimatum_customer,1,Validation,10.63.30.96,2017-02-14 00:21:38.989437+00:00,0,1,A3VDQ6HZDIPBD4,3IO1LGZLKACQSTIK5QMCJ11J24686T,1,3522686,80,3,20,1,1,9fi1a8wl,,,,,3THR0FZ95P88AMAD99C9GMDWU4ELO9,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
3,bitk6sxc,,0,3,9,ultimatum_customer,1,WaitToStart,10.138.121.5,2017-02-14 00:22:00.506450+00:00,0,1,AXLHKLLODD9C,33CUSNVVNORDW718Y5JA3FXA8ZW88F,1,,0,2,,,1,9fi1a8wl,,,,,3THR0FZ95P88AMAD99C9GMDWU4ELO9,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
4,9awz0e6d,,0,4,9,ultimatum_customer,1,Offer,10.167.67.198,2017-02-14 00:22:26.779408+00:00,0,1,A3774HPOUKYTX7,36W0OB37HXTL9E3OAZDTTCNDARTHZ8,1,,0,8,,,1,9fi1a8wl,,,,,3THR0FZ95P88AMAD99C9GMDWU4ELO9,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
5,hvh2f78q,,0,5,9,ultimatum_customer,1,WaitForProposer,10.171.127.156,2017-02-14 00:23:27.235981+00:00,0,1,A2UIRHKDQBWJEZ,3B4YI393VABDYBVQQ1VK1XXCWNASSZ,2,,0,2,,,1,9fi1a8wl,,,,,3THR0FZ95P88AMAD99C9GMDWU4ELO9,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
6,xsxduxor,,0,10,9,ultimatum_customer,1,Validation,10.236.12.50,2017-02-14 00:24:37.539617+00:00,0,1,A2TDK0LD62WZ8Y,3LEP4MGT3HF8F0V6IPE0G91CRWEBDN,1,8562551,60,4,40,1,1,9fi1a8wl,,,,,3THR0FZ95P88AMAD99C9GMDWU4ELO9,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
