participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.valid_code,player.payoff,group.id_in_subsession,group.amount_offered,group.offer_accepted,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,0fy9z7d4,,0,1,9,consent_start,1,Consent,10.13.194.229,2017-02-07 00:57:29.838477+00:00,0,1,,,1,,0.00,1,,,1,53a43xxj,,,,,,,,1
2,1exmi3h4,,0,0,9,,,,,,0,0,,,2,,0.00,1,,,1,53a43xxj,,,,,,,,1
1,6gxkba8y,,0,0,9,,,,,,0,0,,,1,,0.00,1,,,1,p1vnmzro,,,,,,,,1
2,vfdj69vk,,0,0,9,,,,,,0,0,,,2,,0.00,1,,,1,p1vnmzro,,,,,,,,1
1,5dgrct7p,,0,0,9,,,,,,0,0,,,1,,0.00,1,,,1,6rs0vpc8,,,,,,,,1
2,prcn06zj,,0,0,9,,,,,,0,0,,,2,,0.00,1,,,1,6rs0vpc8,,,,,,,,1
1,3xuhihea,,0,10,9,ultimatum_t1,1,Validation,10.190.139.180,2017-02-07 01:06:31.289219+00:00,0,1,,,1,,0.01,2,0.99,1,1,n6npy4e3,,,,,,,,1
2,4kylo1qh,,0,10,9,ultimatum_t1,1,Validation,10.190.139.180,2017-02-07 01:06:45.326804+00:00,0,1,,,2,,0.99,2,0.99,1,1,n6npy4e3,,,,,,,,1
1,oem4mq5u,,0,10,9,ultimatum_t1,1,Validation,10.111.221.243,2017-02-07 01:12:55.563339+00:00,0,1,A2SBISQJE2ZPJQ,3WI0P0II627VV7CVEM0QGO6G80GDR0,1,9532322,0.00,6,1.00,1,1,kf86yhcr,,,,,3FDWKV9VCNHNT9CV57PXF5KACQNUMI,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
2,g6cnt1y3,,0,7,9,ultimatum_t1,1,ResultsWaitPage,10.81.229.55,2017-02-07 01:12:56.400514+00:00,0,1,A3I1W58P6SIV26,3S96KQ6I9NJ8BMPNIB5LG37YWLDDTD,1,,0.00,33,1.00,1,1,kf86yhcr,,,,,3FDWKV9VCNHNT9CV57PXF5KACQNUMI,35VN5BQM8VGHCME7JEF72KMWGBJ5JU,,0
