StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q39,Q39,Q42,Q44,Q46,Q48,Q1_1,Q1_2,Q1_3,Q30,Q13,Q24_1,Q24_2,Q24_3,Q25_1,Q23_1,Q23_2,Q26_1,Q27_1,Q6_1,Q7_1,Q8_1,Q8_2,Q50,Q52,Q54,Q56,Q58,Q60,Q62,Q64,Q66,Q54,Q55,Q31,Q31,mTurkCode,userid
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,This is the beginning of the survey.,This is the beginning of the survey. - Regions,"In real life, what percentage (0-100) amount do you consider to be a standard and fair bank fee for exchanging currency?",What percentage (0-100) amount do you consider to be a standard and fair brokerage commission fee for financial management services?,What percentage (0-100) amount do you consider to be a standard and fair service charge in an online transaction?,What percentage (0-100) amount do you consider to be a standard and fair ATM fee for withdrawing cash?,Your basic demographic information - Age (years),Your basic demographic information - Occupation,Your basic demographic information - Nationality,What is your gender?,What was your role during the experiment?,Please estimate the following about banker to the best of your ability: - Lowest bank fee ($0-1)  expected,Please estimate the following about banker to the best of your ability: - Highest bank fee ($0-1) expected,Please estimate the following about banker to the best of your ability: - Lowest acceptable bank fee ($0-1) for the banker,What is the highest bank fee ($0-1) you were willing to pay? - Bank fee ($),Please answer the following questions about the customer to the best of your ability: - Lowest bank fee ($0-1) expected,Please answer the following questions about the customer to the best of your ability: - Highest bank fee ($0-1) expected,What is the lowest bank fee ($0-1) that you considered an acceptable amount? - Bank fee ($),What do you think would have been a fair bank fee in this experiment ($0-1)? - Fair bank fee ($),How did you feel about your payoff at the end of the experiment? - How you felt about your payoff,How would you rate the following statement? - I thought the outcome of this experiment was fair,Please rank your experience level with the following: - Converting types of currency,Please rank your experience level with the following: - International travel,"For this final task, imagine you have been anonymously and randomly paired with another person, called “Other.” Both you and the “Other” person will make choices by selecting payoff sets. 

 

Your choices will produce points for both yourself and the “Other” person, and vice versa. Every point has value: the more points one receives, the better.
 

    Here’s an example:




  

In this example, if you chose... 

 

A: you receive 500 points; the other receives 100 points 

B: you receive 500 points; the other receives 500 points  

C: you receive 550 points; the other receives 300 points 

 

So, you see that your choice influences both your points (on top) and the other's points (on bottom).

 

To ensure that you are reading these instructions, you will see an image of a clock tower on a following page, indicating the end of the survey. When this occurs, please click on the clock or clock tower before continuing. You will then receive your payment information for this HIT.

 

Before you begin making choices, please keep in mind that there are no right or wrong answers – simply choose the option that you prefer most. 

 

For each of the nine choice situations, select an option depending on which column you prefer most:",Q52,Q54,Q56,Q58,Q60,Q62,Q64,Q66,Do you think that you have you participated in any studies similar to this before? (**Note: your answer will not affect your payment in any way),Did you pay attention to the instructions and questions in this study?,You have reached the end of the survey. Your HIT ID number is on the following page.,You have reached the end of the survey. Your HIT ID number is on the following page. - Regions,mTurkCode,userid
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_REGIONS""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID38""}","{""ImportId"":""QID48""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID39""}","{""ImportId"":""QID39_REGIONS""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""userid""}"
2017-02-22 20:06:25,2017-02-22 20:07:32,IP Address,69.166.45.108,100,66,True,2017-02-22 20:07:33,R_2dBj68zTtyxQDww,,,,,46.731292724609,-117.17959594727,anonymous,,Region #1,1,1,1,1,,,,,Customer,,,,,,,,0.04,Neutral,Neither agree nor disagree,Some experience,Some experience,,,,,,,,,,Yes,No,,,4612650,yireul3u
2017-02-22 20:06:25,2017-02-22 20:08:22,IP Address,69.166.45.108,100,116,True,2017-02-22 20:08:23,R_21vqbIof2UpQV2J,,,,,46.731292724609,-117.17959594727,anonymous,,,1,1,1,1,,,,,Customer,,,,,,,,0.01,Neutral,Neither agree nor disagree,Some experience,Some experience,,,,,,,,,,No,No,,,1787014,ojmv01hq
2017-02-22 20:19:06,2017-02-22 20:21:33,IP Address,73.217.7.187,100,146,True,2017-02-22 20:21:34,R_2f9HB0kZyuIGJBz,,,,,40.524002075195,-105.13960266113,anonymous,,Other,5,5,2,2,35,Commercial Fisherman,American,Male,Banker,,,,,0.2,0.51,0.02,0.19,Neutral,Somewhat agree,Lower than average,Lower than average,"540
280","500
500","520
520","560
300","500
500","500
500","510
510","500
500","540
300",No,Yes,,,5085892,fn1slzk6
2017-02-22 20:18:52,2017-02-22 20:22:59,IP Address,148.75.164.241,100,246,True,2017-02-22 20:23:00,R_21Ai9nvycA9gp3h,,,,,41.139602661133,-73.405601501465,anonymous,,Region #1,1,3,1,1,31,Investment Manager,USA,Male,Customer,0.5,1,0.01,0.5,,,,0.01,Neutral,Somewhat agree,Lower than average,Lower than average,"540
280","560
300","580
320","560
300","560
300","570
300","560
300","550
300","540
300",No,Yes,,Clock,1068654,g4pu5vep
2017-02-22 20:18:53,2017-02-22 20:24:42,IP Address,70.92.99.167,100,348,True,2017-02-22 20:24:43,R_2wdbGcZCLzcl76q,,,,,37.824905395508,-87.533401489258,anonymous,,,2,1,0,0,35,shift manager/line cook,American,Male,Banker,,,,,0.39,0.6,0.4,0.5,Very positively,Strongly agree,No experience at all,No experience at all,"540
280","560
300","580
320","560
300","560
300","570
300","560
300","550
300","540
300",No,Yes,,Clock,8969972,1eufd7gz
2017-02-22 20:22:40,2017-02-22 20:25:38,IP Address,12.222.248.213,100,178,True,2017-02-22 20:25:39,R_3MoIKySNoDfhTXd,,,,,37.751007080078,-97.821998596191,anonymous,,Region #1,1,5,1,0,27,military,american,Male,Customer,0.1,1,0.25,0.9,,,,0.5,Very positively,Somewhat agree,Some experience,Some experience,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",No,Yes,,Clock,9488339,bj9f5e99
2017-02-22 20:23:10,2017-02-22 20:27:01,IP Address,71.102.110.127,100,230,True,2017-02-22 20:27:02,R_3n2enQNdZCaAvOV,,,,,40.939498901367,-75.969497680664,anonymous,,Region #1,10,15,3,5,39,manufacturing,American,Male,Banker,,,,,0.4,0.6,0.2,0.35,Somewhat negatively,Somewhat disagree,No experience at all,No experience at all,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",No,Yes,,Clock,8848259,velpfxq5
2017-02-22 20:23:09,2017-02-22 20:27:43,IP Address,104.35.222.34,100,273,True,2017-02-22 20:27:44,R_1IRhhgygOJ9mQOr,,,,,33.665298461914,-117.97180175781,anonymous,,,90,10,5,1,46,Order Processor,American,Female,Customer,0.21,0.6,0.1,0.4,,,,0.18,Somewhat positively,Somewhat agree,Some experience,Lower than average,"540
280","560
300","580
320","560
300","560
300","570
300","560
300","550
300","540
300",No,Yes,,Clock,50341,tgs1tn7e
